iterations,auction_name,recipe,num_of_agents,mean_optimal_count,mean_auction_count,count_ratio,mean_optimal_gft,mean_auction_total_gft,total_gft_ratio,mean_auction_market_gft,market_gft_ratio
50,SBB Ascending Prices,1:1,100,50.56,50.06,99.01,24909.28,24782.29,99.49,24782.29,99.49
50,SBB Ascending Prices,1:1,1000,500.22,499.66,99.88,249534.18,249395.46,99.94,249395.46,99.94
50,SBB Ascending Prices,1:1:1,100,50.3,49.86,99.12,49902.52,49743.79,99.68,49743.79,99.68
50,SBB Ascending Prices,1:1:1,1000,498.62,498.0,99.87,498770.09,498525.81,99.95,498525.81,99.95
50,SBB Ascending Prices,2:1,100,50.04,49.54,99.0,24838.03,24664.27,99.3,24664.27,99.3
50,SBB Ascending Prices,2:1,1000,498.0,497.48,99.89,248649.39,248454.23,99.92,248454.23,99.92
