stockname,recipe,numpossibletrades,optimalkmin,optimalkmax,gftformula,optimalcount,optimalgft,auctioncount,countratio,gft,gftratio
Average,[0-> [1-> None-> 2-> [3-> None]]],2,1.0005757575757577,1.0005757575757577,0.057542626972359054,1.1082424242424243,110744.07190909091,0.4814545454545454,37.490909090909085,60037.33106060606,43.61545003946853
Average,[0-> [1-> None-> 2-> [3-> None]]],4,1.5576060606060604,1.8307878787878789,35.79891441800743,2.274757575757576,230550.64906060605,1.4941818181818183,64.96919191919699,194527.26524242424,80.63295598499542
Average,[0-> [1-> None-> 2-> [3-> None]]],6,1.8975454545454544,2.6736969696969695,47.300340152349925,3.4483333333333337,351738.2833333333,2.5806060606060606,74.61686868686944,326050.7279090909,90.72917734344702
Average,[0-> [1-> None-> 2-> [3-> None]]],10,2.458181818181818,4.324212121212121,59.319526627218934,5.79030303030303,596090.2592121213,4.85030303030303,83.59220298220221,580402.0983939393,96.29813027373827
Average,[0-> [1-> None-> 2-> [3-> None]]],16,3.3545454545454545,6.798878787878788,70.18970189701898,9.317242424242425,955253.200060606,8.345363636363636,89.47677766679412,945484.0746363637,98.4772017884241
Average,[0-> [1-> None-> 2-> [3-> None]]],26,5.05530303030303,10.90769696969697,80.21879214745992,15.195212121212123,1561601.7973030303,14.205848484848485,93.43880825909481,1555658.0304242426,99.39834358571217
Average,[0-> [1-> None-> 2-> [3-> None]]],50,9.472878787878788,20.77078787878788,89.44354696821868,29.304484848484847,3022298.4462727276,28.305454545454545,96.57242129023624,3019100.082787879,99.83185785323101
Average,[0-> [1-> None-> 2-> [3-> None]]],100,18.82048484848485,41.308484848484845,94.68664060437048,58.687333333333335,6069343.639060606,57.67481818181818,98.26678653035854,6067669.42130303,99.95493584642936
Average,[0-> [1-> None-> 2-> [3-> None]]],500,90.22530303030302,205.92881818181817,98.89166346200673,293.9332727272727,30386591.030545454,292.81557575757574,99.6179606278178,30386085.717515152,99.99719431170382
Average,[0-> [1-> None-> 2-> [3-> None]]],1000,176.6469696969697,411.8931818181818,99.43389914827554,588.0910303030303,60815811.11669697,586.8600303030303,99.78953881355683,60815480.94,99.99912302110448
