iterations,recipe,numofagents,meanoptimalcount,meanoptimalkmin,meanoptimalkmax,gftformula,meanauctioncount,countratio,meanoptimalgft,meanauctiontotalgft,totalgftratio
10000,[0- [1- None- 2- [3- None]]],2,1.1348,1.0068,1.0068,0.3388479170819173,0.4691,41.33768064857243,455.04017654368056,257.9774095388563,56.69332574067608
10000,[0- [1- None- 2- [3- None]]],4,2.3408,1.4511,1.786,18.40398188568398,1.4691,62.760594668489404,1040.1076987984459,828.3032420878834,79.63629564945597
10000,[0- [1- None- 2- [3- None]]],6,3.5109,1.5837,2.5544,22.591632155436002,2.5665,73.1009142954798,1618.37593717858,1429.8594675756722,88.35150317845427
10000,[0- [1- None- 2- [3- None]]],10,5.9405,1.995,4.1656,33.2220367278798,4.9448,83.23878461408972,2828.465504342997,2689.8281902679014,95.09849726425075
10000,[0- [1- None- 2- [3- None]]],16,9.5311,3.0528,6.5078,50.6514015001974,8.5301,89.49753963341063,4603.645849654329,4512.563961294379,98.0215270389057
10000,[0- [1- None- 2- [3- None]]],26,15.5412,5.0096,10.5328,66.71991480298189,14.5397,93.55583867397627,7586.75212599047,7529.025081399447,99.23910728026472
10000,[0- [1- None- 2- [3- None]]],50,29.9438,9.8793,20.0645,81.61646429457777,28.9347,96.63002023791235,14800.368111420521,14768.987238952317,99.7879723515526
10000,[0- [1- None- 2- [3- None]]],100,59.9307,19.8402,40.0905,90.40316311743649,58.9304,98.33090552921958,29785.140779616213,29769.374790914684,99.94706760388281
10000,[0- [1- None- 2- [3- None]]],500,299.8898,99.6927,200.1971,98.01375869352992,298.8983,99.66937855172134,149580.9407678953,149577.7855887609,99.99789065430512
10000,[0- [1- None- 2- [3- None]]],1000,599.6867,199.3864,400.3003,99.00192827457353,598.6808,99.83226241302333,299324.4814209909,299322.8820027614,99.99946565739565
